Address of the authorisation holder,Date from which the product is authorised,Date until which the product is authorised,Description and characterisation of the product,Name of the authorisation holder,Name of the product,Unique code,Food category,Maximum level g/kg
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,7.1. Breads and rolls,0.60
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,7.2. Fine bakery wares,0.60
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,8. Meat,0.60
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,9.2. Processed fish and fishery products including crustaceans and molluscs,0.60
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,9.3. Fish roe,0.60
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,"12.2. Herbs, spices, seasonings",3.0
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,12.5. Soups and broths,0.60
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,12.6. Sauces,4.0
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,12.7. Salads and savoury based sandwich spreads,1.0
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,"12.9. Protein products, excluding products covered in category 1.8",1.0
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,15. Ready-to-eat savouries and snacks,3.0
